n,time
550.0,1071.215201
550.0,1067.948444
550.0,1074.508987
550.0,1098.895972
550.0,1084.950371
550.0,1126.488115
550.0,1174.105692
550.0,1169.341927
550.0,1208.213196
550.0,1124.898694
650.0,1900.80092
650.0,1991.629549
650.0,1872.595853
650.0,1762.406766
650.0,1753.322636
650.0,1880.976546
650.0,1886.359892
650.0,1959.969056
650.0,1985.075482
650.0,1805.88869
350.0,417.427494
350.0,483.151346
350.0,311.607679
350.0,291.58789
350.0,314.368328
350.0,311.262806
350.0,300.773527
350.0,158.258575
350.0,133.319465
350.0,151.931666
150.0,15.465379
150.0,10.130486
150.0,37.058634
150.0,26.831871
150.0,16.609558
150.0,26.440288
150.0,32.033198
150.0,13.873198
150.0,19.926422
150.0,29.836027
50.0,2.595744
50.0,2.615336
50.0,4.588992
50.0,3.389975
50.0,13.254457
50.0,4.304596
50.0,4.897469
50.0,6.754185
50.0,5.988301
50.0,30.804703
250.0,111.832681
250.0,43.46492
250.0,43.545903
250.0,45.35302
250.0,45.601424
250.0,120.753017
250.0,57.267322
250.0,61.776465
250.0,103.867901
250.0,85.770548
450.0,590.088374
450.0,589.925539
450.0,594.677707
450.0,593.582392
450.0,655.699791
450.0,646.72141
450.0,651.024671
450.0,652.478731
450.0,764.952563
450.0,827.064013
