n,metoda,czas
50,naive,0.000339702
50,better,0.000224601
50,blas_mul,6.21e-5
50,naive,0.000421302
50,better,0.000258102
50,blas_mul,2.38e-5
50,naive,0.000420002
50,better,0.000240401
50,blas_mul,2.32e-5
50,naive,0.000456802
50,better,0.000249702
50,blas_mul,2.51e-5
50,naive,0.000442302
50,better,0.000282502
50,blas_mul,2.39e-5
50,naive,0.000528703
50,better,0.000239901
50,blas_mul,2.35e-5
50,naive,0.000419902
50,better,0.000256501
50,blas_mul,2.3e-5
50,naive,0.000420802
50,better,0.000241501
50,blas_mul,5.2e-5
50,naive,0.000434402
50,better,0.000242701
50,blas_mul,2.27e-5
50,naive,0.000446103
50,better,0.000239301
50,blas_mul,2.35e-5
150,naive,0.012267961
150,better,0.005756029
150,blas_mul,0.000288802
150,naive,0.012925765
150,better,0.00603983
150,blas_mul,0.000152001
150,naive,0.064136619
150,better,0.005655028
150,blas_mul,0.000169201
150,naive,0.011916159
150,better,0.077680586
150,blas_mul,0.000186501
150,naive,0.01206036
150,better,0.005588828
150,blas_mul,0.000146701
150,naive,0.084083918
150,better,0.005653428
150,blas_mul,0.000169401
150,naive,0.012010859
150,better,0.077873887
150,blas_mul,0.000175901
150,naive,0.011926959
150,better,0.005645428
150,blas_mul,0.000161501
150,naive,0.088264039
150,better,0.005720628
150,blas_mul,0.000158101
150,naive,0.012421762
150,better,0.077898587
150,blas_mul,0.000164401
250,naive,0.197914485
250,better,0.02604873
250,blas_mul,0.000685903
250,naive,0.177446683
250,better,0.026583132
250,blas_mul,0.000619904
250,naive,0.169098842
250,better,0.025102925
250,blas_mul,0.000613703
250,naive,0.179186492
250,better,0.032595062
250,blas_mul,0.000537502
250,naive,0.161028002
250,better,0.025594128
250,blas_mul,0.000511003
250,naive,0.173911266
250,better,0.02596173
250,blas_mul,0.000553402
250,naive,0.173661264
250,better,0.027664038
250,blas_mul,0.000542303
250,naive,0.169486244
250,better,0.023999419
250,blas_mul,0.000536303
250,naive,0.177686485
250,better,0.025844429
250,blas_mul,0.000452403
250,naive,0.177146482
250,better,0.025787028
250,blas_mul,0.000527103
350,naive,0.268213635
350,better,0.068517841
350,blas_mul,0.001617308
350,naive,0.237248181
350,better,0.06827994
