n,time
50,0.000648396
50,0.076222181
50,0.000358198
50,0.000433298
50,0.000330798
50,0.000326098
50,0.000301898
50,0.000336298
50,0.000315098
50,0.000405098
50,0.000393198
150,0.003220682
150,0.002751485
150,0.012291532
150,0.078733267
150,0.002584086
150,0.002767085
150,0.002468486
150,0.002620286
150,0.002542086
150,0.003229482
150,0.002770085
250,0.083512642
250,0.004805574
250,0.004766974
250,0.006816062
250,0.083158943
250,0.004720574
250,0.004710974
250,0.004746174
250,0.005223071
250,0.080614557
250,0.005873668
350,0.011181938
350,0.084502436
350,0.007228961
350,0.007079361
350,0.082086649
350,0.007153861
350,0.006799062
350,0.007692858
350,0.082833644
350,0.006963662
350,0.006737863
450,0.086965722
450,0.00906865
450,0.085255632
450,0.01260843
450,0.085122832
450,0.009483748
450,0.009339049
450,0.086276526
450,0.009262049
450,0.008744752
450,0.084207738
550,0.011634436
550,0.090303104
550,0.012537231
550,0.086661824
550,0.089924506
550,0.011584037
550,0.088271015
550,0.013065428
550,0.086900222
550,0.012046133
550,0.088760712
650,0.013906624
650,0.090336904
650,0.016609309
650,0.089006311
650,0.092355993
650,0.014924818
650,0.094026383
650,0.088669212
650,0.013636625
650,0.091378898
650,0.013481026
