n,metoda,czas
50.000000,1.000000 ,0.000631 
50.000000,2.000000 ,0.000610 
50.000000,3.000000 ,0.000106 
50.000000,1.000000 ,0.000630 
50.000000,2.000000 ,0.000623 
50.000000,3.000000 ,0.000104 
50.000000,1.000000 ,0.000633 
50.000000,2.000000 ,0.000613 
50.000000,3.000000 ,0.000105 
50.000000,1.000000 ,0.000632 
50.000000,2.000000 ,0.000616 
50.000000,3.000000 ,0.000105 
50.000000,1.000000 ,0.000628 
50.000000,2.000000 ,0.000621 
50.000000,3.000000 ,0.000105 
50.000000,1.000000 ,0.000633 
50.000000,2.000000 ,0.000615 
50.000000,3.000000 ,0.000104 
50.000000,1.000000 ,0.000629 
50.000000,2.000000 ,0.000610 
50.000000,3.000000 ,0.000119 
50.000000,1.000000 ,0.001118 
50.000000,2.000000 ,0.001112 
50.000000,3.000000 ,0.000179 
50.000000,1.000000 ,0.000661 
50.000000,2.000000 ,0.001174 
50.000000,3.000000 ,0.000198 
50.000000,1.000000 ,0.001010 
50.000000,2.000000 ,0.000711 
50.000000,3.000000 ,0.000130 
150.000000,1.000000 ,0.017994 
150.000000,2.000000 ,0.017462 
150.000000,3.000000 ,0.002920 
150.000000,1.000000 ,0.017082 
150.000000,2.000000 ,0.018917 
150.000000,3.000000 ,0.002897 
150.000000,1.000000 ,0.017169 
150.000000,2.000000 ,0.017267 
150.000000,3.000000 ,0.002671 
150.000000,1.000000 ,0.017089 
150.000000,2.000000 ,0.017214 
150.000000,3.000000 ,0.002896 
150.000000,1.000000 ,0.017102 
150.000000,2.000000 ,0.017709 
150.000000,3.000000 ,0.002704 
150.000000,1.000000 ,0.017812 
150.000000,2.000000 ,0.017668 
150.000000,3.000000 ,0.002671 
150.000000,1.000000 ,0.016875 
150.000000,2.000000 ,0.017341 
150.000000,3.000000 ,0.002731 
150.000000,1.000000 ,0.017219 
150.000000,2.000000 ,0.016930 
150.000000,3.000000 ,0.002667 
150.000000,1.000000 ,0.017383 
150.000000,2.000000 ,0.016831 
150.000000,3.000000 ,0.002706 
150.000000,1.000000 ,0.016839 
150.000000,2.000000 ,0.016990 
150.000000,3.000000 ,0.002667 
250.000000,1.000000 ,0.081021 
250.000000,2.000000 ,0.076117 
250.000000,3.000000 ,0.012651 
250.000000,1.000000 ,0.087382 
250.000000,2.000000 ,0.075715 
250.000000,3.000000 ,0.011974 
250.000000,1.000000 ,0.092495 
250.000000,2.000000 ,0.084574 
250.000000,3.000000 ,0.013790 
250.000000,1.000000 ,0.088660 
250.000000,2.000000 ,0.082969 
250.000000,3.000000 ,0.013242 
250.000000,1.000000 ,0.091613 
250.000000,2.000000 ,0.077546 
250.000000,3.000000 ,0.011949 
250.000000,1.000000 ,0.083384 
250.000000,2.000000 ,0.081702 
250.000000,3.000000 ,0.013487 
250.000000,1.000000 ,0.111780 
250.000000,2.000000 ,0.077186 
250.000000,3.000000 ,0.012020 
250.000000,1.000000 ,0.087583 
250.000000,2.000000 ,0.076093 
250.000000,3.000000 ,0.011941 
250.000000,1.000000 ,0.082941 
250.000000,2.000000 ,0.079243 
250.000000,3.000000 ,0.012468 
250.000000,1.000000 ,0.082375 
250.000000,2.000000 ,0.075876 
250.000000,3.000000 ,0.011947 
350.000000,1.000000 ,0.255172 
350.000000,2.000000 ,0.209438 
350.000000,3.000000 ,0.039988 
350.000000,1.000000 ,0.302751 
350.000000,2.000000 ,0.223963 
350.000000,3.000000 ,0.035877 
350.000000,1.000000 ,0.274597 
350.000000,2.000000 ,0.218597 
350.000000,3.000000 ,0.036730 
350.000000,1.000000 ,0.263305 
350.000000,2.000000 ,0.216650 
350.000000,3.000000 ,0.032562 
350.000000,1.000000 ,0.260826 
350.000000,2.000000 ,0.217353 
350.000000,3.000000 ,0.033416 
350.000000,1.000000 ,0.251805 
350.000000,2.000000 ,0.213100 
350.000000,3.000000 ,0.033693 
350.000000,1.000000 ,0.265026 
350.000000,2.000000 ,0.221445 
350.000000,3.000000 ,0.037801 
350.000000,1.000000 ,0.256624 
350.000000,2.000000 ,0.209740 
350.000000,3.000000 ,0.036192 
350.000000,1.000000 ,0.287448 
350.000000,2.000000 ,0.233242 
350.000000,3.000000 ,0.034746 
350.000000,1.000000 ,0.296192 
350.000000,2.000000 ,0.241238 
350.000000,3.000000 ,0.046125 
450.000000,1.000000 ,0.561434 
450.000000,2.000000 ,0.438999 
450.000000,3.000000 ,0.068756 
450.000000,1.000000 ,0.550751 
450.000000,2.000000 ,0.439788 
450.000000,3.000000 ,0.068745 
450.000000,1.000000 ,0.549661 
450.000000,2.000000 ,0.469524 
450.000000,3.000000 ,0.074132 
450.000000,1.000000 ,0.594120 
450.000000,2.000000 ,0.470802 
450.000000,3.000000 ,0.074275 
450.000000,1.000000 ,0.576431 
450.000000,2.000000 ,0.436025 
450.000000,3.000000 ,0.074224 
450.000000,1.000000 ,0.550346 
450.000000,2.000000 ,0.440084 
450.000000,3.000000 ,0.068667 
450.000000,1.000000 ,0.548695 
450.000000,2.000000 ,0.439657 
450.000000,3.000000 ,0.068552 
450.000000,1.000000 ,0.547393 
450.000000,2.000000 ,0.438952 
450.000000,3.000000 ,0.068426 
450.000000,1.000000 ,0.553927 
450.000000,2.000000 ,0.493586 
450.000000,3.000000 ,0.073379 
450.000000,1.000000 ,0.609309 
450.000000,2.000000 ,0.468212 
450.000000,3.000000 ,0.068764 
550.000000,1.000000 ,1.099790 
550.000000,2.000000 ,0.795098 
550.000000,3.000000 ,0.124822 
550.000000,1.000000 ,1.010209 
550.000000,2.000000 ,0.799674 
550.000000,3.000000 ,0.125113 
550.000000,1.000000 ,1.008112 
550.000000,2.000000 ,0.797406 
550.000000,3.000000 ,0.124379 
550.000000,1.000000 ,1.011949 
550.000000,2.000000 ,0.795078 
550.000000,3.000000 ,0.124395 
550.000000,1.000000 ,1.009982 
550.000000,2.000000 ,0.795190 
550.000000,3.000000 ,0.125831 
550.000000,1.000000 ,1.010505 
550.000000,2.000000 ,0.794795 
550.000000,3.000000 ,0.124679 
550.000000,1.000000 ,1.008122 
550.000000,2.000000 ,0.794434 
550.000000,3.000000 ,0.125129 
550.000000,1.000000 ,1.007386 
550.000000,2.000000 ,0.795290 
550.000000,3.000000 ,0.124717 
550.000000,1.000000 ,1.027484 
550.000000,2.000000 ,0.795547 
550.000000,3.000000 ,0.125572 
550.000000,1.000000 ,1.008262 
550.000000,2.000000 ,0.794824 
550.000000,3.000000 ,0.126041 
650.000000,1.000000 ,1.695553 
650.000000,2.000000 ,1.312167 
650.000000,3.000000 ,0.206075 
650.000000,1.000000 ,1.697002 
650.000000,2.000000 ,1.314958 
650.000000,3.000000 ,0.204877 
650.000000,1.000000 ,1.683114 
